recordnumber numeric;rely numeric;data numeric;cplx numeric;time numeric;stor numeric;virt numeric;turn numeric;acap numeric;aexp numeric;pcap numeric;vexp numeric;lexp numeric;modp numeric;tool numeric;sced numeric;loc numeric;actual numeric
1;0.86;1.17;0.91;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;25.9;117.6
2;1;1;1;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;24.6;117.6
3;1;1;1;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;7.7;31.2
4;1;1;0.91;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;8.2;36
5;1;1;1;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;9.7;25.2
6;1;1;0.91;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;2.2;8.4
7;1;1;0.91;1;1;1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;3.5;10.8
8;1;1;0.91;1;1;1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;66.6;352.8
9;1;1;1;1.34;1;1.1;0.86;1.04;1.56;1.16;1.3;1.15;1.3;1.15;1;7.5;72
10;1;1;0.91;1;1;1.1;1.19;1.04;-1.21;-1.23;1.3;1.15;1.15;1;1;20;72
11;1;1;0.91;1;1;1;1.19;1.04;-1.21;1.16;1.3;1.15;1.15;1;1;6;24
12;1;1;0.91;1;1;1.1;1.19;1.04;-1.21;-1.23;1.3;1.15;1.15;1;1;100;360
13;1;1;0.91;1;1;1.1;1.19;1.04;-1.21;1.08;1.3;1;1.15;1;1;11.3;36
14;1;1;0.91;1;1;0.9;1.19;1.04;1.56;1.16;1.11;0.87;1.15;1;1;100;215
15;1;1;0.91;1;1;1;1.19;1.04;-1.21;1.16;1.3;1.15;1.15;1;1;20;48
16;1;1;0.91;1;1;1;1.19;1.04;1.21;1.08;1.3;0.87;1.15;1;1;100;360
17;1;1;0.91;1;1;1;1.19;1.04;-1.21;-1.23;1.3;1.15;1.15;1;1;150;324
18;1;1;0.91;1;1;1.1;1.19;1.04;1.56;1.16;1.3;1.15;1.15;1;1;31.5;60
19;1;1;0.91;1;1;1.1;1.19;1.04;-1.21;1.16;1.3;1.15;1.15;1;1;15;48
20;1;1;0.91;1;1;1.1;1.19;1.04;1.56;1.08;1.3;1.15;1.15;1;1;32.5;60
21;1;1;0.91;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;19.7;60
22;1;1;0.91;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;66.6;300
23;1;1;1;1;1;1.1;1.19;1;1.21;1.08;1.3;1.15;1.3;1;0.85;29.5;120
